Lemma,POS,# of Occurrences
相談,Noun,89
まー,Interjection,89
場合,Noun,88
じゃ,Auxiliary Verb,88
然し,Conjunction,88
ルブラン-Leblanc,Noun,88
へえ,Interjection,88
夢,Noun,87
ながら,Particle,87
んー,Interjection,87
食べる,Verb,87
ほど,Particle,86
都合,Noun,86
約束,Noun,86
逃げる,Verb,85
さっさと,Adverb,85
全て,Noun,85
楽しみ,Noun,85
信ずる,Verb,85
確認,Noun,84
大,Prefix,84
選挙,Noun,84
感想,Noun,84
地下,Noun,84
共,Noun,83
まさか,Adverb,83
口,Noun,83
状況,Noun,83
例,Noun,83
ハル,Noun,82
彼,Pronoun,82
続ける,Verb,82
面倒,Noun,82
殿,Suffix,82
あれ,Interjection,80
高い,い-Adjective,80
生,Noun,80
ぇ,Auxiliary Symbol,80
感ずる,Verb,80
無,Prefix,80
困る,Verb,80
試験,Noun,80
落ち着く,Verb,80
やばい,い-Adjective,79
最後,Noun,79
餓鬼,Noun,79
罪,Noun,79
黙る,Verb,79
嬉しい,い-Adjective,79
疲れる,Verb,79
助かる,Verb,79
さあ,Interjection,78
ええ,Interjection,78
足りる,Verb,78
テレビ-television,Noun,78
上がる,Verb,78
姿,Noun,77
様子,Noun,77
警戒,Noun,77
調子,Noun,77
続く,Verb,77
下,Noun,77
報告,Noun,77
大変,な-Adjective,77
電話,Noun,77
戦う,Verb,76
行う,Verb,76
不,Prefix,76
協力,Noun,76
巣,Noun,76
余裕,Noun,76
名前,Noun,76
起きる,Verb,75
成功,Noun,75
成る程,Adverb,75
事故,Noun,75
気分,Noun,75
誘う,Verb,75
万,Noun,75
無し,Noun,74
只,Noun,74
当たる,Verb,74
メメント-memento,Noun,74
友達,Noun,74
押す,Verb,73
たって,Particle,73
うう,Interjection,73
ぽい,Adverb,73
過ぎ,Suffix,73
鍵,Noun,73
遊ぶ,Verb,73
場,Suffix,73
コープ-coop,Noun,73
命,Noun,72
状態,Noun,72
化,Suffix,72
ぅ,Auxiliary Symbol,72
気付く,Verb,72
ルート-route,Noun,72
確保,Noun,72
話題,Noun,72
ボタン-button,Noun,71
親,Noun,71
過ごす,Verb,71
生徒,Noun,71
向かう,Verb,71
質問,Noun,71
覚悟,Noun,70
普通,Noun,70
春,Noun,70
盗む,Verb,70
身,Noun,70
ミシマ,Noun,70
見付かる,Verb,70
全く,Adverb,70
ぉ,Auxiliary Symbol,69
決まる,Verb,69
奥,Noun,69
開ける,Verb,69
占い,Noun,69
通用,Noun,69
フロア-floor,Noun,69
以外,Noun,68
所為,Noun,68
えー,Interjection,68
急ぐ,Verb,67
回,Noun,67
掛かる,Verb,67
全部,Noun,67
注意,Noun,67
ぃ,Auxiliary Symbol,67
三,Noun,67
ニュース-news,Noun,67
忙しい,い-Adjective,67
紹介,Noun,67
最近,Noun,67
ボス-boss,Noun,67
社長,Noun,67
邪魔,Noun,66
ほら,Interjection,66
チ,Code,66
はあ,Interjection,66
方法,Noun,66
先生,Noun,66
噂,Noun,66
不味い,い-Adjective,65
中々,Adverb,65
仮面,Noun,65
御陰,Noun,65
映画,Noun,65
切る,Verb,64
数,Noun,64
頭,Noun,64
食う,Verb,64
残念,な-Adjective,64
愈,Adverb,64
会,Noun,64
シンジュク,Noun,64
結局,Noun,64
出掛ける,Verb,64
役,Noun,64
誘い,Noun,64
館,Suffix,63
終わり,Noun,62
進める,Verb,62
始める,Verb,62
飲む,Verb,62
酷い,い-Adjective,62
演説,Noun,62
戦い,Noun,61
何故,Adverb,61
分,Noun,61
己,Pronoun,61
モナ,Noun,61
折角,Adverb,61
本日,Noun,61
ねた,Noun,61
銃,Noun,60
選ぶ,Verb,60
認知,Noun,60
面白い,い-Adjective,60
騙す,Verb,60
コーヒー-coffee,Noun,60
伝える,Verb,60
どうせ,Adverb,59
あんな,な-Adjective,59
思い出す,Verb,59
癖,Noun,59
変化,Noun,59
立つ,Verb,59
局,Noun,59
ばれる,Verb,59
年,Noun,59
企業,Noun,59
周り,Suffix,59
倒す,Verb,58
本気,Noun,58
ラメ-lame,Noun,58
暫く,Adverb,58
雨,Noun,58
簡単,な-Adjective,58
ハ,Code,58
ウ,Code,58
易い,Suffix,57
総,Prefix,57
理解,Noun,57
返す,Verb,57
間違い,Noun,57
目的,Noun,57
期限,Noun,57
通る,Verb,57
会社,Noun,57
取り引き,Noun,57
依頼,Noun,57
御座る,Verb,57
被害,Noun,57
気力,Noun,57
大人しい,い-Adjective,56
確り,Adverb,56
増える,Verb,56
そう-伝聞,Noun,56
部,Noun,56
証,Suffix,56
片付ける,Verb,55
急,Noun,55
社員,Noun,55
解決,Noun,55
説明,Noun,55
危険,Noun,55
早速,Adverb,55
手伝う,Verb,55
金城,Noun,55
公園,Noun,55
形,Suffix,55
辛い,い-Adjective,55
連れる,Verb,54
狙う,Verb,54
正面,な-Adjective,54
姉,Noun,54
認める,Verb,54
休む,Verb,54
格好,Noun,54
近い,い-Adjective,54
扠,Conjunction,54
犯罪,Noun,54
当然,Adverb,53
会話,Noun,53
唯,Adverb,53
代わり,Noun,53
くそ,Interjection,53
犯人,Noun,53
四,Noun,53
体,Noun,53
優しい,い-Adjective,53
断る,Verb,53
全員,Noun,52
社会,Noun,52
怪しい,い-Adjective,52
勝負,Noun,52
うわ,Interjection,52
マコト,Noun,52
詐欺,Noun,52
指名,Noun,52
注目,Noun,52
調査,Noun,52
悪,Prefix,52
主人,Noun,51
気配,Noun,51
何の,Adnominal,51
フード-food,Noun,51
烏賊,Noun,51
深まる,Verb,51
対する,Verb,51
威勢,Noun,51
野郎,Noun,50
向こう,Noun,50
価値,Noun,50
勿論,Adverb,50
慎重,Noun,50
バイト-Arbeit,Noun,50
品,Noun,50
倍,Noun,50
ル-le,Noun,50
随分,Adverb,49
危ない,い-Adjective,49
猫,Noun,49
有名,な-Adjective,49
なあ,Interjection,49
円-助数詞,Noun,49
有り,Noun,49
探索,Noun,49
スイッチ-switch,Noun,49
むかつく,Verb,49
可愛い,い-Adjective,49
ふん,Interjection,48
痛い,い-Adjective,48
貴様,Pronoun,48
何れ,Adverb,48
守る,Verb,48
次第,Noun,48
構う,Verb,48
怒る,Verb,48
戦,Suffix,48
道具,Noun,48
仕様,Noun,48
可成,Adverb,48
不安,Noun,48
タイプ-type,Noun,48
政治,Noun,48
引き上げる,Verb,48
キー-key,Noun,47
其奴,Pronoun,47
奪う,Verb,47
引く-他動詞,Verb,47
何方,Pronoun,47
少ない,い-Adjective,47
正義,Noun,47
一体,Noun,47
ずっと,Adverb,47
近く,Noun,47
チャット-chat,Noun,47
我慢,Noun,47
仕掛け,Noun,47
カジノ-casino,Noun,47
最初,Noun,46
白,Noun,46
死,Noun,46
諦める,Verb,46
り,Auxiliary Verb,46
特別,な-Adjective,46
氏,Suffix,46
座る,Verb,46
多分,Adverb,46
バー-bar,Noun,46
がる,Suffix,46
駅,Noun,46
対応,Noun,45
逆,Noun,45
必ず,Adverb,45
世間,Noun,45
頂戴,Noun,45
廃人,Noun,45
楽しむ,Verb,45
影響,Noun,45
大物,Noun,45
無事,Noun,45
返事,Noun,45
感,Noun,45
迷惑,Noun,45
蚊,Noun,45
オオヤ,Noun,45
ルーム-room,Noun,45
責任,Noun,45
抜ける,Verb,44
連中,Noun,44
メンバー-member,Noun,44
リーダー-leader,Noun,44
一杯,Noun,44
ううん,Interjection,44
時期,Noun,44
手伝い,Noun,44
機,Noun,44
勝手,Noun,44
将棋,Noun,44
要る,Verb,43
売る,Verb,43
杏子,Noun,43
無駄,Noun,43
渡す,Verb,43
彼処,Pronoun,43
鴨,Noun,43
掴む,Verb,43
難しい,い-Adjective,43
可笑しい,い-Adjective,43
線,Suffix,43
感謝,Noun,43
長い,い-Adjective,43
大きい,い-Adjective,43
目立つ,Verb,43
腹,Noun,43
偉い,い-Adjective,43
既に,Adverb,43
向ける,Verb,42
選択,Noun,42
セキュリティー-security,Noun,42
理由,Noun,42
元,Noun,42
臭い,Suffix,42
行成,Adverb,42
挨拶,Noun,42
楽しい,い-Adjective,42
扱い,Noun,42
消える,Verb,42
欲望,Noun,41
新た,な-Adjective,41
侵入,Noun,41
越える,Verb,41
安心,Noun,41
近付く,Verb,41
合う,Verb,41
現在,Noun,41
反応,Noun,41
集める,Verb,41
天気,Noun,41
詳しい,い-Adjective,41
ジーマ-zima,Noun,41
ファミレス,Noun,41
どうぞ,Adverb,41
空く,Verb,41
是非,Adverb,41
休み,Noun,41
ゲーセン,Noun,41
否定,Noun,41
てまえ,Pronoun,40
全然,Adverb,40
伯父,Noun,40
元気,Noun,40
掃除,Noun,40
恐らく,Adverb,40
頃,Noun,40
世話,Noun,40
悩む,Verb,40
警備,Noun,40
バトル-battle,Noun,40
言,Noun,40
スロット-slot,Noun,40
会員,Noun,40
生命,Noun,40
更に,Adverb,39
○,Auxiliary Symbol,39
回復,Noun,39
