Lemma,POS,# Occurrences
始める,Verb,48
積り,Noun,48
許す,Verb,48
決まる,Verb,48
風,Noun,48
完,Noun,48
商店,Noun,47
ぇ,Auxiliary Symbol,47
落ち着く,Verb,47
サキ,Noun,47
女の子,Noun,47
件,Noun,47
煩い,い-Adjective,47
立つ,Verb,47
読む,Verb,47
鐘,Suffix,47
親,Noun,46
外,Noun,46
連絡,Noun,46
只,Noun,46
楽,Noun,46
くそ,Interjection,46
被害,Noun,46
市,Noun,45
生徒,Noun,45
山野,Noun,45
何故,Adverb,45
伝える,Verb,45
可哀想,な-Adjective,45
多分,Adverb,45
引く-他動詞,Verb,45
回,Noun,45
うふふ,Interjection,45
川,Noun,45
ヒサ,Noun,45
謎,Noun,44
都会,Noun,44
取り敢えず,Adverb,44
何方,Pronoun,44
振り,Suffix,44
結局,Noun,44
はっきり,Adverb,44
悲しい,い-Adjective,44
認める,Verb,44
狐,Noun,44
癖,Noun,44
頷く,Verb,44
興味,Noun,43
ちっ,Adverb,43
休む,Verb,43
暗い,い-Adjective,43
姿,Noun,43
様子,Noun,43
ほど,Particle,43
下,Noun,43
買い物,Noun,43
夢,Noun,42
現実,Noun,42
など,Particle,42
すっ,Adverb,42
乗る,Verb,42
彼女,Pronoun,42
御陰,Noun,42
うー,Interjection,42
黙る,Verb,42
車,Noun,41
番組,Noun,41
クラス-class,Noun,41
ながら,Particle,41
要る,Verb,41
捜査,Noun,41
無事,な-Adjective,41
疲れる,Verb,41
終わり,Noun,41
然も,Conjunction,41
さあ,Interjection,40
暫く,Adverb,40
過ぎ,Suffix,40
暇,Noun,40
彼処,Pronoun,40
べい,Particle,40
容疑,Noun,40
迷惑,Noun,40
準備,Noun,40
渡す,Verb,40
本気,Noun,40
正直,Adverb,40
然し,Conjunction,39
昔,Noun,39
ど,Particle,39
必ず,Adverb,39
数,Noun,39
真実,Noun,39
楽しみ,Noun,39
続ける,Verb,39
ダミー-dummy,Noun,39
ニュース-news,Noun,38
不,Prefix,38
空気,Noun,38
捕まえる,Verb,38
カード-card,Noun,37
客,Noun,37
貴様,Pronoun,37
流石,Adverb,37
遺体,Noun,37
婆,Noun,37
