Lemma,POS,P4 Occurrences,P5 Occurrences
女,Noun,72,110
信ずる,Verb,72,85
此奴,Pronoun,71,111
家族,Noun,71,11
先ず,Adverb,70,110
どんな,Adnominal,70,116
付く,Verb,70,146
旅館,Noun,70,1
ねえ,Interjection,70,89
感じ,Noun,70,108
仲間,Noun,70,186
所為,Noun,69,68
アナ-announcer,Noun,69,3
最初,Noun,69,46
頭,Noun,69,64
ちまう,Auxiliary Verb,68,169
問題,Noun,68,104
体,Noun,68,53
サトナカ,Noun,67,0
寝る,Verb,67,110
深まる,Verb,67,51
姉,Noun,66,54
強い,い-Adjective,66,116
願う,Verb,66,124
かしら,Particle,66,118
そして,Conjunction,65,22
高校,Noun,65,39
友達,Noun,65,74
急,Noun,65,55
噂,Noun,65,66
守る,Verb,65,48
言葉,Noun,65,162
辛い,い-Adjective,65,55
頃,Noun,64,40
全て,Noun,64,85
普通,Noun,64,70
嘘,Noun,64,99
以上,Noun,64,119
ペルソナ-persona,Noun,64,128
女子,Noun,63,18
千枝,Noun,63,0
呼ぶ,Verb,63,124
探偵,Noun,63,32
月,Noun,62,181
多い,い-Adjective,62,91
夜,Noun,62,116
余り,Adverb,62,98
見付かる,Verb,62,70
昨日,Noun,62,23
向こう,Noun,62,50
困る,Verb,62,80
救う,Verb,62,35
肉,Noun,62,6
食う,Verb,61,64
続く,Verb,61,77
仕方無い,い-Adjective,61,98
元気,Noun,61,40
決める,Verb,61,95
病院,Noun,61,6
チ,Code,60,66
殺人,Noun,60,16
テスト-test,Noun,60,30
やら,Particle,59,91
ヤマノ,Noun,59,0
起きる,Verb,59,75
やがる,Auxiliary Verb,59,138
イナバ,Noun,58,3
まー,Interjection,58,89
大変,な-Adjective,58,77
意外,な-Adjective,58,37
的,Suffix,58,238
思い出す,Verb,58,59
気付く,Verb,58,72
あら,Interjection,58,32
マユミ,Noun,57,0
送る,Verb,57,31
答える,Verb,57,33
三,Noun,57,67
仕様,Noun,57,48
見せる,Verb,57,120
格好,Noun,57,54
練習,Noun,57,27
解決,Noun,56,55
聞こえる,Verb,56,28
得る,Verb,56,112
必要,Noun,56,205
宜しく,Adverb,55,94
てまえ,Pronoun,55,40
ユウタ,Noun,55,0
屋,Suffix,54,95
わあ,Interjection,54,23
特別,な-Adjective,54,46
一杯,Adverb,54,44
街,Suffix,53,179
連れる,Verb,53,54
彼,Pronoun,53,82
勝手,Noun,53,44
初めて,Adverb,53,27
美味しい,い-Adjective,53,21
そろそろ,Adverb,52,126
因る,Verb,52,112
ううん,Interjection,52,44
彼方,Pronoun,52,14
見付ける,Verb,52,131
間違い,Noun,52,57
上がる,Verb,52,78
面倒,Noun,52,82
白,Noun,52,46
固い,い-Adjective,51,11
モロ-Morro,Noun,51,0
長い,い-Adjective,51,43
よし,Interjection,51,158
うわ,Interjection,51,52
可能,な-Adjective,51,98
最後,Noun,51,79
手紙,Noun,51,7
サヨコ,Noun,51,0
面白い,い-Adjective,50,60
共,Suffix,50,83
晴れる,Verb,50,12
性,Suffix,50,95
選ぶ,Verb,50,60
