Word,Lemma,POS,P4 Occurrences,P5 Occurrences
いっ,言う,Verb,75,109
せる,せる,Auxiliary Verb,34,109
鴨志田,カモシダ,Noun,0,109
斑目,マダラメ,Noun,0,109
カモシダ,Noun,0,109
マダラメ,Noun,0,109
じゃん,じゃん,Particle,215,108
気持ち,気持ち,Noun,95,108
ターゲット,ターゲット-target,Noun,4,108
いく,行く,Verb,59,107
そ,そう-様態,な-Adjective,181,106
ホント,本当,Noun,136,106
現実,現実,Noun,42,106
ユウスケ,Noun,0,106
事件,事件,Noun,257,105
とにかく,兎に角,Adverb,111,105
女,女,Noun,68,105
べき,べし,Auxiliary Verb,45,105
おり,居る,Verb,15,105
ほしい,欲しい,い-Adjective,9,105
扉,扉,Noun,5,105
顔,顔,Noun,181,104
問題,問題,Noun,67,104
攻撃,攻撃,Noun,1,104
カット,カット-cut,Noun,1,104
大事,大事,な-Adjective,87,103
室,室,Suffix,23,102
出し,出す,Verb,99,101
いえ,言う,Verb,69,101
見つけ,見付ける,Verb,43,101
出す,出す,Verb,20,101
ただ,唯,Adverb,134,100
やっぱ,矢張り,Adverb,110,100
ページ,ページ-page,Noun,3,100
心配,心配,Noun,105,99
ちゃ,て,Particle,78,99
さすが,流石,Adverb,21,99
たり,たり,Particle,127,98
疲れ,疲れ,Noun,62,98
可能,可能,な-Adjective,51,98
わかる,分かる,Verb,7,98
あなた,貴方,Pronoun,182,97
探し,探す,Verb,34,97
結果,結果,Noun,26,97
アナタ,貴方,Pronoun,5,97
好き,好き,な-Adjective,165,96
ありがとう,有り難う,Interjection,135,96
はい,はい,Interjection,110,96
作戦,作戦,Noun,6,96
ニー,ニー-knee,Noun,0,96
やっぱり,矢張り,Adverb,106,95
性,性,Suffix,50,95
行動,行動,Noun,20,95
件,件,Noun,47,94
とりあえず,取り敢えず,Adverb,44,94
客,客,Noun,36,94
道,道,Noun,22,94
モノ,物,Noun,15,94
屋,屋,Suffix,52,93
外,外,Noun,46,93
カ,か,Particle,8,93
ネット,ネット-net,Noun,6,93
コイン,コイン-coin,Noun,0,93
コイン-coin,Noun,0,93
ッ,っ,Auxiliary Symbol,107,92
なあ,な,Particle,55,92
楽しみ,楽しみ,Noun,39,92
真,真,Prefix,32,92
人気,人気,Noun,10,92
利用,利用,Noun,8,92
アン,アン-Anne,Noun,2,92
カード,カード-card,Noun,37,91
待つ,待つ,Verb,24,91
フフ,ふふ,Interjection,20,91
10,,Noun,0,91
5,,Noun,0,91
うん,うん,Interjection,192,90
バカ,馬鹿,Noun,106,90
興味,興味,Noun,42,90
候補,候補,Noun,1,90
リュウジ,Noun,0,90
無理,無理,Noun,91,89
すれ,為る,Verb,31,89
相談,相談,Noun,25,89
仕事,仕事,Noun,77,88
やがっ,やがる,Auxiliary Verb,37,88
場合,場合,Noun,34,88
やろう,遣る,Verb,33,88
メメントス,,Noun,0,88
ルブラン,ルブラン-Leblanc,Noun,0,88
ルブラン-Leblanc,Noun,0,88
一人,一人,Noun,190,87
大,大,Prefix,29,87
負け,負け,Noun,26,87
3,,Noun,1,87
約束,約束,Noun,72,86
都合,都合,Noun,11,86
誘い,誘う,Verb,9,86
こ,来る,Verb,74,85
ながら,ながら,Particle,41,85
夢,夢,Noun,40,85
竜司,リュウジ,Noun,0,85
帰っ,返る,Verb,157,84
っけ,け,Particle,85,84
やつ,奴,Noun,83,84
せい,所為,Noun,76,84
感想,感想,Noun,7,84
選挙,選挙,Noun,2,84
カモシダ,,Noun,0,84
地下,地下,Noun,0,84
地下,Noun,0,84
よかっ,良い,い-Adjective,104,83
でし,です,Auxiliary Verb,63,83
付き合っ,付き合う,Verb,38,83
例,例,Noun,36,83
ヒマ,暇,Noun,35,83
状況,状況,Noun,35,83
確認,確認,Noun,19,83
居,居る,Verb,105,82
まさか,まさか,Adverb,75,82
ハル,Noun,0,82
違う,違う,Verb,153,81
実,実,Noun,85,81
でる,てる,Auxiliary Verb,70,81
あげる,上げる,Verb,52,81
ほど,ほど,Particle,35,81
待て,待つ,Verb,26,81
ハル,ハル,Noun,0,81
ぬ,ず,Auxiliary Verb,30,80
しかし,然し,Conjunction,28,80
試験,試験,Noun,17,80
テ,て,Particle,3,80
見え,見える,Verb,106,79
訳,訳,Noun,54,79
最後,最後,Noun,49,79
よろしく,宜しく,Adverb,36,79
あげ,上げる,Verb,36,79
ガキ,餓鬼,Noun,36,79
無,無,Prefix,26,79
殿,テン,Code,4,79
テレビ,テレビ-television,Noun,275,78
もらっ,貰う,Verb,92,78
仕方ない,仕方無い,い-Adjective,45,78
罪,罪,Suffix,15,78
電話,電話,Noun,44,77
姿,姿,Noun,43,77
様子,様子,Noun,43,77
報告,報告,Noun,18,77
たしか,確か,Adverb,4,77
警戒,警戒,Noun,1,77
くん,君,Suffix,288,76
知れ,知れる,Verb,83,76
名前,名前,Noun,49,76
ぇ,ぇ,Auxiliary Symbol,37,76
来い,来る,Verb,34,76
口,口,Noun,32,76
協力,協力,Noun,25,76
なー,な,Particle,124,75
間,間,Noun,106,75
得,得,Noun,36,75
気分,気分,Noun,24,75
事故,事故,Noun,13,75
万,万,Noun,12,75
成功,成功,Noun,7,75
生,生,Suffix,120,74
生き,生きる,Verb,64,74
大変,大変,な-Adjective,53,74
おっ,おっ,Interjection,47,74
とい,とく,Auxiliary Verb,25,74
調子,調子,Noun,15,74
メメント,メメント-memento,Noun,0,74
メメント-memento,Noun,0,74
すん,為る,Verb,61,73
そっち,其方,Pronoun,27,73
場,場,Suffix,9,73
余裕,余裕,Noun,5,73
コープ,コープ-coop,Noun,0,73
コープ-coop,Noun,0,73
分から,分かる,Verb,128,72
終わっ,終わる,Verb,78,72
足り,足りる,Verb,20,72
状態,状態,Noun,18,72
命,命,Noun,18,72
さっさと,さっさと,Adverb,16,72
話題,話題,Noun,12,72
コト,事,Noun,6,72
化,化,Suffix,6,72
占い,占い,Noun,3,72
ノ,の,Particle,3,72
ルート,ルート-route,Noun,0,72
確保,確保,Noun,0,72
ルート-route,Noun,0,72
確保,Noun,0,72
うち,内,Noun,90,71
出る,出る,Verb,62,71
全て,全て,Noun,53,71
生徒,生徒,Noun,45,71
やり,遣る,Verb,39,71
春,春,Noun,26,71
ソレ,其れ,Pronoun,11,71
ル,ル,Code,3,71
ボタン,ボタン-button,Noun,2,71
帰る,返る,Verb,125,70
変,変,Noun,75,70
やれ,やれ,Interjection,41,70
子供,子供,Noun,31,70
もらう,貰う,Verb,26,70
質問,質問,Noun,26,70
身,身,Noun,21,70
使っ,使う,Verb,15,70
覚悟,覚悟,Noun,9,70
タ,た,Auxiliary Verb,6,70
ミシマ,Noun,0,70
親,親,Noun,46,69
見せ,見せる,Verb,40,69
大人,大人,Noun,27,69
奥,奥,Noun,26,69
不,不,Prefix,23,69
戦い,戦う,Verb,15,69
フロア,フロア-floor,Noun,2,69
フタバ,双葉,Noun,0,69
祐介,ユウスケ,Noun,0,69
奥村,オクムラ,Noun,0,69
通用,通用,Noun,0,69
通用,Noun,0,69
分かる,分かる,Verb,103,68
たって,たって,Particle,80,68
信じ,信ずる,Verb,55,68
達,達,Suffix,33,68
こちら,此方,Pronoun,28,68
やはり,矢張り,Adverb,22,68
アケチ,アケチ,Noun,0,68
最近,最近,Noun,83,67
回,回,Noun,45,67
ニュース,ニュース-news,Noun,38,67
悪く,悪い,い-Adjective,35,67
ぅ,ぅ,Auxiliary Symbol,35,67
会い,会う,Verb,29,67
紹介,紹介,Noun,21,67
悪,悪い,い-Adjective,20,67
注意,注意,Noun,18,67
わから,分かる,Verb,8,67
明智,アケチ,Noun,0,67
ボス,ボス-boss,Noun,0,67
ボス-boss,Noun,0,67
先生,先生,Noun,183,66
ぉ,ぉ,Auxiliary Symbol,73,66
ええ,ええ,Interjection,60,66
終わり,終わり,Noun,47,66
アレ,彼れ,Pronoun,44,66
ちまう,ちまう,Auxiliary Verb,25,66
方法,方法,Noun,10,66
社長,社長,Noun,2,66
